,beat,count,years
1033,914,4,2020
1034,1114,23,2010
1035,935,13,2018
1036,124,15,2016
1037,1511,32,2014
1038,1733,8,2010
1039,1133,43,2018
1040,132,2,2017
1041,613,9,2017
1042,2232,28,2011
1043,715,23,2012
1044,823,9,2020
1045,1522,36,2018
1046,732,20,2007
1047,1115,36,2011
1048,231,15,2018
1049,1121,41,2007
1050,934,23,2015
1051,1113,45,2017
1052,2534,24,2018
1053,233,17,2009
1054,814,16,2012
1055,2234,23,2010
1056,1634,11,2013
1057,1113,45,2006
1058,122,14,2014
1059,623,19,2020
1060,1013,17,2019
1061,321,39,2005
1062,211,7,2007
1063,114,18,2016
1064,2022,12,2005
1065,111,6,2004
1066,2223,13,2016
1067,1024,69,2014
1068,731,18,2018
1069,1724,9,2011
1070,1223,12,2006
1071,1824,10,2020
1072,1023,10,2020
1073,1532,38,2017
1074,1813,3,2019
1075,1822,14,2014
1076,313,5,2018
1077,725,29,2007
1078,725,33,2011
1079,1922,4,2010
1080,431,16,2007
1081,1115,27,2016
1082,631,40,2015
1083,2011,19,2012
1084,932,28,2009
1085,1013,29,2009
1086,732,19,2017
1087,1115,64,2014
1088,1925,9,2016
1089,1014,25,2015
1090,311,8,2008
1091,2525,10,2004
1092,432,5,2017
1093,432,16,2010
1094,1135,29,2019
1095,413,24,2009
1096,825,24,2006
1097,1524,25,2016
1098,3100,78,2012
1099,2533,39,2004
1100,1131,26,2010
1101,614,23,2004
1102,1622,9,2019
1103,1821,29,2004
1104,2213,4,2012
1105,1533,55,2009
1106,1821,13,2020
1107,1123,43,2015
1108,3100,72,2010
1109,1653,10,2015
1110,2525,12,2011
1111,1033,12,2004
1112,833,8,2006
1113,711,28,2014
1114,715,4,2019
1115,331,14,2013
1116,411,39,2014
1117,1732,5,2013
1118,231,15,2015
1119,2514,18,2010
1120,1833,25,2014
1121,231,11,2016
1122,1024,35,2012
1123,211,1,2011
1124,1211,6,2016
1125,1013,20,2015
1126,1531,53,2011
1127,2531,24,2005
1128,2422,27,2004
1129,834,14,2005
1130,222,23,2008
1131,1811,9,2011
1132,925,22,2007
1133,522,24,2018
1134,2223,16,2011
1135,823,62,2011
1136,225,16,2014
1137,311,20,2016
1138,2033,5,2014
1139,221,11,2004
1140,224,9,2019
1141,634,24,2010
1142,1822,21,2016
1143,1233,9,2007
1144,524,15,2011
1145,1921,14,2018
1146,1912,4,2011
1147,621,62,2016
1148,2514,17,2016
1149,621,94,2013
1150,1031,1,2020
1151,533,6,2018
1152,1633,20,2008
1153,234,7,2019
1154,434,15,2010
1155,215,5,2014
1156,531,33,2016
1157,724,32,2005
1158,1032,11,2004
1159,2511,8,2016
1160,2234,16,2006
1161,224,10,2006
1162,1432,12,2014
1163,934,38,2011
1164,1112,57,2014
1165,312,27,2016
1166,2524,7,2004
1167,2424,10,2007
1168,1531,57,2010
1169,1222,4,2009
1170,911,7,2004
1171,1652,6,2018
1172,1135,9,2020
1173,2432,13,2004
1174,622,20,2009
1175,1412,16,2013
1176,1225,15,2014
1177,1913,21,2006
1178,711,16,2017
1179,1731,13,2008
1180,1421,16,2010
1181,433,6,2006
1182,811,26,2015
1183,424,18,2007
1184,935,13,2012
1185,713,64,2018
1186,1711,4,2009
1187,1914,19,2014
1188,1414,15,2015
1189,2531,26,2010
1190,213,4,2011
1191,2223,24,2008
1192,1812,10,2011
1193,225,21,2015
1194,1213,7,2015
1195,724,23,2013
1196,414,31,2010
1197,1724,13,2013
1198,121,5,2018
1199,1133,35,2005
1200,423,67,2014
1201,1931,6,2012
1202,724,34,2004
1203,2222,12,2009
1204,413,13,2016
1205,1731,7,2013
1206,122,16,2012
1207,323,18,2017
1208,512,23,2017
1209,414,5,2020
1210,2512,13,2017
1211,2431,7,2013
1212,2531,37,2011
1213,1123,55,2014
1214,932,25,2019
1215,1653,3,2010
1216,334,8,2004
1217,1524,24,2014
1218,632,26,2011
1219,915,9,2020
1220,1813,7,2007
1221,2433,17,2014
1222,1915,3,2014
1223,632,18,2007
1224,2234,26,2019
1225,722,7,2020
1226,913,25,2016
1227,434,23,2014
1228,1131,32,2004
1229,2022,8,2004
1230,1023,27,2004
1231,2512,19,2014
1232,735,12,2006
1233,831,31,2010
1234,1911,11,2005
1235,711,30,2013
1236,2432,30,2011
1237,1032,9,2011
1238,1722,7,2014
1239,633,5,2019
1240,932,3,2018
1241,1613,5,2005
1242,523,17,2016
1243,232,8,2017
1244,214,2,2020
1245,622,7,2005
1246,1115,9,2020
1247,1232,18,2013
1248,1011,30,2020
1249,823,24,2007
1250,634,6,2020
1251,1434,22,2007
1252,914,9,2011
1253,221,1,2020
1254,712,22,2006
1255,232,13,2007
1256,2522,16,2004
1257,234,9,2008
1258,912,13,2007
1259,132,6,2016
1260,524,18,2010
1261,622,17,2004
1262,1621,3,2016
1263,714,16,2017
1264,723,14,2009
1265,923,7,2013
1266,2032,9,2006
1267,735,13,2008
1268,532,14,2016
1269,431,14,2009
1270,1814,10,2017
1271,222,2,2012
1272,812,4,2011
1273,412,11,2007
1274,2521,15,2006
1275,122,17,2011
1276,214,15,2004
1277,1131,17,2008
1278,2512,12,2006
1279,433,10,2011
1280,1124,29,2007
1281,1423,30,2010
1282,924,11,2004
1283,2534,28,2015
1284,1013,22,2007
1285,2533,39,2013
1286,333,8,2013
1287,711,15,2016
1288,213,7,2016
1289,324,7,2020
1290,2433,4,2019
1291,1622,15,2014
1292,322,7,2020
1293,2535,21,2010
1294,2532,36,2014
1295,1612,3,2019
1296,915,20,2013
1297,313,25,2005
1298,1831,44,2014
1299,2524,7,2010
1300,1214,1,2015
1301,1132,61,2017
1302,1123,39,2006
1303,214,5,2007
1304,815,9,2013
1305,332,13,2010
1306,2422,23,2016
1307,1913,15,2014
1308,1823,17,2010
1309,2513,1,2017
1310,1612,3,2012
1311,2515,27,2004
1312,631,21,2018
1313,735,41,2017
1314,2535,25,2013
1315,1114,28,2009
1316,411,12,2006
1317,233,9,2006
1318,824,2,2020
1319,422,22,2018
1320,1822,36,2007
1321,1512,6,2019
1322,1221,7,2017
1323,1033,12,2015
1324,2523,17,2009
1325,414,13,2018
1326,2525,13,2015
1327,422,34,2017
1328,614,30,2011
1329,332,24,2012
1330,224,11,2007
1331,1032,6,2010
1332,914,21,2010
1333,1654,2,2016
1334,1531,27,2007
1335,1533,51,2019
1336,1512,21,2016
1337,1634,2,2020
1338,2431,3,2017
1339,2431,10,2011
1340,1733,3,2012
1341,431,31,2016
1342,1031,15,2009
1343,1135,39,2015
1344,913,15,2009
1345,1712,19,2004
1346,1434,13,2014
1347,1532,24,2005
1348,732,23,2013
1349,513,20,2011
1350,1921,14,2019
1351,713,50,2009
1352,1711,6,2015
1353,1923,16,2008
1354,1122,36,2008
1355,1414,35,2009
1356,731,12,2006
1357,334,9,2006
1358,324,14,2018
1359,1913,9,2017
1360,331,19,2007
1361,1421,26,2006
1362,821,9,2015
1363,1821,31,2005
1364,1914,20,2012
1365,634,30,2012
1366,225,27,2017
1367,1814,5,2019
1368,732,8,2006
1369,2525,2,2020
1370,222,6,2015
1371,1414,8,2020
1372,124,18,2010
1373,1414,24,2005
1374,933,19,2011
1375,432,18,2009
1376,1831,41,2012
1377,1712,14,2006
1378,1633,14,2011
1379,1222,9,2011
1380,1924,39,2019
1381,2212,16,2018
1382,411,21,2018
1383,1234,4,2020
1384,1033,8,2019
1385,331,39,2017
1386,2513,1,2011
1387,2221,17,2005
1388,1932,2,2017
1389,112,10,2013
1390,1722,15,2007
1391,624,30,2016
1392,3100,42,2009
1393,224,7,2018
1394,124,6,2018
1395,1812,6,2018
1396,621,92,2008
1397,334,19,2015
1398,1814,13,2011
1399,333,13,2011
1400,1813,5,2010
1401,714,16,2016
1402,812,9,2007
1403,1222,11,2018
1404,411,29,2017
1405,613,20,2011
1406,1033,21,2017
1407,934,37,2008
1408,1711,1,2020
1409,2513,1,2019
1410,1932,10,2014
1411,1713,3,2019
1412,1224,14,2019
1413,331,5,2020
1414,613,17,2015
1415,911,11,2019
1416,421,35,2010
